Email,FirstName,Gender,LastName,ConfirmPassword
nimish.khandelwal42@gmail.com,Nimish,M,Khandelwal,12345678
aarav.mehta01@yahoo.com,Aarav,M,Mehta,Pass1234
siya.verma22@outlook.com,Siya,F,Verma,Welcome12
vivaan.kapoor99@gmail.com,Vivaan,M,Kapoor,Test@567
anaya.singh11@protonmail.com,Anaya,F,Singh,Qwerty123
aditya.joshi77@hotmail.com,Aditya,M,Joshi,India2025
kiara.malhotra45@gmail.com,Kiara,F,Malhotra,Secure890
aryan.gupta55@yahoo.com,Aryan,M,Gupta,Login456
isha.bansal88@outlook.com,Isha,F,Bansal,MyPass789
reyansh.arora66@gmail.com,Reyansh,M,Arora,User12345
